timestamp,fault_name,fault_type,fault_duration,fault_params,detected,detection_latency,first_alert,all_alerts,alert_count,latency_threshold,evaluation_window,run_time,timeout
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,1.054658,CriticalServiceRPCLatencySpike,,68,100,10s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.899286,CriticalServiceRPCLatencySpike,,68,100,10s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,60.166381,CriticalServiceRPCLatencySpike,,56,100,20s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,60.014823,CriticalServiceRPCLatencySpike,,56,100,20s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.223441,KubernetesContainerOomKiller,,72,100,30s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.032271,KubernetesContainerOomKiller,,72,100,30s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,225.211631,KubernetesContainerOomKiller,,19,100,40s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,225.047936,KubernetesContainerOomKiller,,19,100,40s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.389796,CriticalServiceRPCLatencySpike,,97,200,10s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.233469,CriticalServiceRPCLatencySpike,,97,200,10s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.541131,CriticalServiceRPCLatencySpike,,62,200,20s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.387005,CriticalServiceRPCLatencySpike,,62,200,20s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,90.407275,KubernetesContainerOomKiller,,56,200,30s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,90.238254,KubernetesContainerOomKiller,,56,200,30s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.760507,KubernetesContainerOomKiller,,64,200,40s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.605366,KubernetesContainerOomKiller,,64,200,40s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,75.818384,CriticalServiceRPCLatencySpike,,47,300,10s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,75.618214,CriticalServiceRPCLatencySpike,,47,300,10s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.409046,ImmediateHighHTTPLatency,,81,300,20s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.236393,ImmediateHighHTTPLatency,,81,300,20s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,210.654652,KubernetesContainerOomKiller,,24,300,30s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,210.4851,KubernetesContainerOomKiller,,24,300,30s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,1.047196,KubernetesContainerOomKiller,,80,300,40s,,5m
20241202-150813,package_lost_treatment,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,0.883079,KubernetesContainerOomKiller,,80,300,40s,,5m
20241202-150813,add_security_context,kubernetes_loss,,"{""loss_percentage"": 15.0}",True,45.943592,CriticalServiceRPCLatencySpike,,4,400,10s,,5m
